symbol	GSM2805414_Ad-LacZ.CEL
AKR1A1	10.1340954225998
AKR1B1	9.85913442267968
AKR1B10	4.51585802206809
AKR1C1	4.35616274655522
AKR1C2	4.22944906761663
AKR1C3	8.90611562442464
AKR1C4	2.95702656720714
AKR1C6P	3.97131775791213
AKR1D1	2.2622545976128
AKR1E2	5.69327027861458
AKR7A2	8.40121633031413
AKR7A3	6.02186236033195
AKT1	8.71335980232239
AKT1S1	7.61851704562711
AKT2	5.08035796307059
AKT3	6.96280612264808
AKTIP	8.05547278931132
AL022341.3	4.11794509479741
AL022344.5	3.89589989630613
AL109706	3.34641404535109
AL110181	5.77458225079494
AL132709.8	5.41759135608184
AL133493.2	2.20053923674618
AL590762.11	5.19939444352561
AL831948	5.41759135608184
AL832163	2.20053923674618
AL832615	4.89507984215023
AL832909	8.08800173844389
AL833181	3.26732057569154
AL928742.12	4.25802935653126
AL928768.3	4.04538510778212
ALAD	6.7332068494116
ALAS1	8.74059783147234
ALAS2	4.33194608622477
ALB	2.35772533899979
ALCAM	11.2074672138738
ALDH16A1	6.31727201109934
ALDH18A1	7.73043124606018
ALDH1A1	11.3900303928114
ALDH1A2	4.94503871991831
ALDH1A3	3.62392043185417
ALDH1B1	5.97118159224027
ALDH1L1	5.45057845727391
ALDH1L1-AS2	4.74312457005934
ALDH1L2	4.04538510778212
ALDH2	8.83523636994312
ALDH3A1	4.11794509479741
ALDH3A2	7.4490844807658
ALDH3B1	5.5154549349024
ALDH3B2	3.15172030627911
ALDH4A1	6.5639238117684
ALDH5A1	3.9658984976426
ALDH6A1	6.20441910211997
ALDH7A1	8.39121019360923
ALDH8A1	2.4561018218042
ALDH9A1	9.95527535107966
ALDOA	11.0706189091156
ALDOAP2	3.03337894032123
ALDOB	3.11064025994831
ALDOC	5.80069876480059
ALG1	5.73690022301954
ALG10	4.45429613657919
ALG10B	4.84605736296546
ALG11	8.06170146270889
ALG12	6.24302595586331
ALG13	7.08472578863552
ALG14	6.74786419673502
ALG2	7.05802195190364
ALG3	7.94686083294566
ALG5	6.28062655049547
ALG6	8.1279542399328
ALG8	9.27086114464206
ALG9	7.45956702591331
ALK	4.55327580872089
ALKBH1	6.43833549966573
ALKBH2	5.03325790723623
ALKBH3	7.77966833027664
ALKBH3-AS1	3.27254239392064
ALKBH4	5.03325790723623
ALKBH5	7.78621883392899
ALKBH6	6.38788339834241
ALKBH7	6.37286572505632
ALKBH8	5.64832103627151
ALLC	4.3253588596564
ALMS1	4.57548750294698
ALMS1-IT1	2.73454767877389
ALMS1P	4.11794509479741
ALOX12	4.63321174135031
ALOX12B	3.03337894032123
ALOX12P2	5.11868952610534
ALOX15	2.52361271094291
ALOX15B	4.1146735572217
ALOX5	3.2311059462556
ALOX5AP	4.94257148167468
ALOXE3	3.46170544727702
ALPI	3.89531277831073
ALPK1	4.8219420634835
ALPK2	3.26732057569154
ALPK3	6.73940341488649
ALPL	3.26754323528847
ALPP	4.4696128314354
ALPPL2	5.27584495978125
ALS2	5.23812423899609
ALS2CL	5.94818564095007
ALS2CR11	2.52432415761008
ALS2CR12	3.03383341357773
ALX1	6.03874844664715
ALX3	3.89589989630613
ALX4	4.3253588596564
ALYREF	8.80849375009659
AMACR	4.18105517988435
AMBN	4.51585802206809
